question_id,role,topic,difficulty_claimed,question,source_docs,role_relevance_1_5,topic_relevance_1_5,grounding_1_5,technical_correctness_1_5,clarity_1_5,difficulty_matches_claim_1_5,is_duplicate_of_earlier_y_n,hallucination_y_n,annotator_id
machine-learning-10,machine-learning,pytorch,intermediate,"Suppose a candidate mentions pytorch on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-11,machine-learning,learning,intermediate,"You listed learning as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
ml-ops-0,ml-ops,python,intermediate,"Suppose a candidate mentions python on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
ml-ops-1,ml-ops,classification,foundational,"For a ML Ops Engineer role, explain classification using an example from your own work. What tradeoffs would you watch for?",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
ml-ops-2,ml-ops,model evaluation,intermediate,"You listed model evaluation as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
ml-ops-3,ml-ops,pandas,intermediate,"Suppose a candidate mentions pandas on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
ml-ops-4,ml-ops,rag,intermediate,"What are the most common misconceptions about rag you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
ml-ops-5,ml-ops,sql,intermediate,"You are applying sql in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
ml-ops-6,ml-ops,pytorch,intermediate,"What are the most common misconceptions about pytorch you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
ml-ops-7,ml-ops,statistics,intermediate,"Suppose a candidate mentions statistics on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
ml-ops-8,ml-ops,llm,intermediate,"You listed llm as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
ml-ops-9,ml-ops,regression,intermediate,"Suppose a candidate mentions regression on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
ml-ops-10,ml-ops,information retrieval,intermediate,"You are applying information retrieval in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
ml-ops-11,ml-ops,logistic,intermediate,"You listed logistic as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
ai-engineer-0,ai-engineer,information retrieval,intermediate,"How would you evaluate whether a information retrieval-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
ai-engineer-1,ai-engineer,statistics,foundational,"For a AI Engineer role, explain statistics using an example from your own work. What tradeoffs would you watch for?",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-2,ai-engineer,model evaluation,intermediate,"Suppose a candidate mentions model evaluation on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
ai-engineer-3,ai-engineer,sql,intermediate,"Suppose a candidate mentions sql on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-4,ai-engineer,python,intermediate,"Connect python to the AI Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
ai-engineer-5,ai-engineer,classification,intermediate,"Suppose a candidate mentions classification on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-6,ai-engineer,pytorch,intermediate,"You listed pytorch as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-7,ai-engineer,regression,intermediate,"What are the most common misconceptions about regression you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-8,ai-engineer,rag,intermediate,"What are the most common misconceptions about rag you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-9,ai-engineer,pandas,intermediate,"You listed pandas as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
ai-engineer-10,ai-engineer,llm,intermediate,"How would you evaluate whether a llm-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
ai-engineer-11,ai-engineer,machine,intermediate,"What are the most common misconceptions about machine you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
deep-learning-0,deep-learning,model evaluation,intermediate,"What are the most common misconceptions about model evaluation you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
deep-learning-1,deep-learning,statistics,foundational,What is statistics and why does it matter in a Deep Learning Engineer context?,"Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-2,deep-learning,information retrieval,intermediate,"What are the most common misconceptions about information retrieval you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
deep-learning-3,deep-learning,python,intermediate,"Connect python to the Deep Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-4,deep-learning,pytorch,intermediate,"What are the most common misconceptions about pytorch you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-5,deep-learning,pandas,intermediate,"Connect pandas to the Deep Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-6,deep-learning,rag,intermediate,"Suppose a candidate mentions rag on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-7,deep-learning,regression,intermediate,"You listed regression as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-8,deep-learning,llm,intermediate,"Connect llm to the Deep Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
deep-learning-9,deep-learning,classification,intermediate,"How would you evaluate whether a classification-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
deep-learning-10,deep-learning,learning,intermediate,"You are applying learning in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
deep-learning-11,deep-learning,sql,intermediate,"Connect sql to the Deep Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-0,computer-vision,model evaluation,intermediate,"Connect model evaluation to the Computer Vision Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-1,computer-vision,statistics,foundational,Walk me through how you would get started with statistics on a new project.,"Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-2,computer-vision,rag,intermediate,"You are applying rag in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-3,computer-vision,regression,intermediate,"How would you evaluate whether a regression-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-4,computer-vision,pytorch,intermediate,"What are the most common misconceptions about pytorch you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-5,computer-vision,python,intermediate,"How would you evaluate whether a python-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-6,computer-vision,llm,intermediate,"You are applying llm in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-7,computer-vision,classification,intermediate,"Connect classification to the Computer Vision Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-8,computer-vision,information retrieval,intermediate,"How would you evaluate whether a information retrieval-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-9,computer-vision,pandas,intermediate,"What are the most common misconceptions about pandas you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-10,computer-vision,samples,intermediate,"You listed samples as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf; Pattern Recognition and Machine Learning - Christopher Bishop.pdf",,,,,,,,,
computer-vision-11,computer-vision,sql,intermediate,"You are applying sql in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.","Artificial Intelligence, Machine Learning, and Deep Learning.pdf",,,,,,,,,
nlp-0,nlp,python,intermediate,"You listed python as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
nlp-1,nlp,statistics,foundational,What are the core concepts you need to understand before working with statistics?,Machine Learning For Absolute Beginners.pdf,,,,,,,,,
nlp-2,nlp,information retrieval,intermediate,"You are applying information retrieval in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
nlp-3,nlp,sql,intermediate,"You are applying sql in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
nlp-4,nlp,pytorch,intermediate,"How would you evaluate whether a pytorch-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
nlp-5,nlp,pandas,intermediate,"How would you evaluate whether a pandas-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
nlp-6,nlp,rag,intermediate,"You listed rag as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
nlp-7,nlp,classification,intermediate,"Suppose a candidate mentions classification on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
nlp-8,nlp,model evaluation,intermediate,"Suppose a candidate mentions model evaluation on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
nlp-9,nlp,regression,intermediate,"You listed regression as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
nlp-10,nlp,llm,intermediate,"You are applying llm in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
nlp-11,nlp,machine,intermediate,"You listed machine as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf,,,,,,,,,
data-engineer-0,data-engineer,llm,intermediate,"Connect llm to the Data Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-1,data-engineer,pandas,foundational,What is pandas and why does it matter in a Data Engineer context?,Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-2,data-engineer,model evaluation,intermediate,"Suppose a candidate mentions model evaluation on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-engineer-3,data-engineer,sql,intermediate,"What are the most common misconceptions about sql you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-4,data-engineer,information retrieval,intermediate,"Suppose a candidate mentions information retrieval on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-engineer-5,data-engineer,python,intermediate,"You are applying python in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-6,data-engineer,rag,intermediate,"You listed rag as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-engineer-7,data-engineer,statistics,intermediate,"Connect statistics to the Data Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-8,data-engineer,pytorch,intermediate,"Connect pytorch to the Data Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-engineer-9,data-engineer,regression,intermediate,"Suppose a candidate mentions regression on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-10,data-engineer,model,intermediate,"Connect model to the Data Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-engineer-11,data-engineer,classification,intermediate,"You listed classification as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-0,data-analyst,model evaluation,intermediate,"You are applying model evaluation in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-1,data-analyst,statistics,foundational,"For a Data Analyst role, explain statistics using an example from your own work. What tradeoffs would you watch for?",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-2,data-analyst,llm,intermediate,"You listed llm as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-3,data-analyst,pandas,intermediate,"What are the most common misconceptions about pandas you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-4,data-analyst,rag,intermediate,"You listed rag as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-analyst-5,data-analyst,sql,intermediate,"You listed sql as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-6,data-analyst,information retrieval,intermediate,"Connect information retrieval to the Data Analyst role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-analyst-7,data-analyst,python,intermediate,"How would you evaluate whether a python-based solution is working well, and what failure modes would you expect? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-8,data-analyst,pytorch,intermediate,"What are the most common misconceptions about pytorch you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-9,data-analyst,classification,intermediate,"What are the most common misconceptions about classification you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
data-analyst-10,data-analyst,chapter,intermediate,"You listed chapter as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf,,,,,,,,,
data-analyst-11,data-analyst,regression,intermediate,"You are applying regression in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Introduction to Machine Learning with Python ( PDFDrive.com )-min.pdf; Master Machine Learning Algorithms — Jason Brownlee.pdf,,,,,,,,,
